ad soyad numara odev1(%10) odev2(%10) vize(%30) final(%50)
omer forvet g1828738739 69 69 69 69
giray komik g7384979834 35 90 28 69
ahmet space g9983739846 19 20 21 74
talha beyaz g1794743784 70 60 48 67
enes baskan g1872637365 45 82 89 94
emir bosluk g1936837466 42 78 35 92
mete kaplan g2098783839 52 79 46 84
raif kaleci g9274688578 34 85 64 45 
furkan kral g9387678474 65 31 76 44
jeffy hardy g9487878578 56 87 46 98
muti kiraci g3884774988 32 17 58 87
memati mami g3084789887 43 78 36 40
yavuz bayka g3967487677 90 85 64 56
enes saitem g3847677486 98 67 87 64 
furkan robo g9386384767 78 85 84 87
emre yýlmaz g9476476478 67 76 53 98
ibo elektro g8466736643 90 72 74 43
kuzey guney g9384778478 98 92 89 85
husnu coban g9388746666 78 85 34 87
mesut komis g9387667737 89 76 56 87
polat olmez g8478765864 99 99 99 99
memo findik g3748894878 76 34 45 78
seyit savas g1972882739 33 78 66 23
taha varmaz g9388746666 85 78 75 87
arslan cenk g9387667737 77 76 56 87
hasan varol g8478765864 67 78 99 88
mehmet kara g3748894878 100 100 100 100
kemal tanca g1972882739 10 10 28 23
